status,username,browser,location,login_time,ip_address
success,aayush,Chrome/Windows,Bangalore,2026-09-23T09:00:00,103.21.4.5
success,aayush,Chrome/Windows,Bangalore,2026-09-23T09:14:00,103.21.4.5
success,aayush,Chrome/Windows,London,2026-09-23T09:26:00,103.21.4.5
success,aayush,Firefox/Mac,Bangalore,2026-09-23T10:00:00,103.21.4.5
success,aayush,Chrome/Windows,Bangalore,2026-09-23T03:00:00,103.21.4.5
fail,priya,Chrome/Windows,Mumbai,2026-09-23T08:30:00,103.22.5.6
fail,priya,Chrome/Windows,Mumbai,2026-09-23T08:32:00,103.22.5.6
fail,priya,Chrome/Windows,Mumbai,2026-09-23T08:35:00,103.22.5.6
success,priya,Chrome/Windows,Mumbai,2026-09-23T08:40:00,103.22.5.6
success,priya,Chrome/Windows,Mumbai,2026-09-23T11:00:00,103.22.5.6
success,marcus,Chrome/Linux,Delhi,2026-09-23T10:00:00,103.23.6.7
success,marcus,Chrome/Linux,Delhi,2026-09-23T10:30:00,103.23.6.7
success,marcus,Chrome/Linux,Delhi,2026-09-23T02:00:00,103.23.6.7
success,elena,Safari/Mac,Chennai,2026-09-23T09:00:00,103.24.7.8
success,elena,Safari/Mac,Chennai,2026-09-23T09:30:00,103.24.7.8
success,elena,Safari/Mac,Chennai,2026-09-23T10:00:00,103.24.7.8
success,aayush,Chrome/Windows,Bangalore,2026-09-23T14:00:00,103.21.4.5
fail,aayush,Chrome/Windows,Bangalore,2026-09-23T15:00:00,103.21.4.5
