user,timestamp,ip,city,device,login_result
aayush,2026-09-23T09:00:00,103.21.4.5,Bangalore,Chrome/Windows,success
aayush,2026-09-23T09:14:00,103.21.4.5,Bangalore,Chrome/Windows,success
aayush,2026-09-23T09:26:00,103.21.4.5,London,Chrome/Windows,success
aayush,2026-09-23T10:00:00,103.21.4.5,Bangalore,Firefox/Mac,success
aayush,2026-09-23T03:00:00,103.21.4.5,Bangalore,Chrome/Windows,success
priya,2026-09-23T08:30:00,103.22.5.6,Mumbai,Chrome/Windows,fail
priya,2026-09-23T08:32:00,103.22.5.6,Mumbai,Chrome/Windows,fail
priya,2026-09-23T08:35:00,103.22.5.6,Mumbai,Chrome/Windows,fail
priya,2026-09-23T08:40:00,103.22.5.6,Mumbai,Chrome/Windows,success
priya,2026-09-23T11:00:00,103.22.5.6,Mumbai,Chrome/Windows,success
marcus,2026-09-23T10:00:00,103.23.6.7,Delhi,Chrome/Linux,success
marcus,2026-09-23T10:30:00,103.23.6.7,Delhi,Chrome/Linux,success
marcus,2026-09-23T02:00:00,103.23.6.7,Delhi,Chrome/Linux,success
elena,2026-09-23T09:00:00,103.24.7.8,Chennai,Safari/Mac,success
elena,2026-09-23T09:30:00,103.24.7.8,Chennai,Safari/Mac,success
elena,2026-09-23T10:00:00,103.24.7.8,Chennai,Safari/Mac,success
aayush,2026-09-23T14:00:00,103.21.4.5,Bangalore,Chrome/Windows,success
aayush,2026-09-23T15:00:00,103.21.4.5,Bangalore,Chrome/Windows,fail
